Venue,Address,Suburb,Date,Time,Alert,Lon,Lat,HealthAdviceHTML,Last updated date
California Nails,"Shop T2 15 - Tower Two, International Towers Sydney, Scotch Row, 200 Barangaroo Avenue",Barangaroo,Wednesday 16 June 2021,4:45pm to 5:45pm,Get tested immediately and self-isolate for 14 days,151.202546808463,-33.8642959686348,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 20 June 2021
Lotus Barangaroo,Shop 8/9 Wulugul Walk,Barangaroo,Sunday 20 June 2021,12:30pm to 3pm,Get tested immediately and self-isolate for 14 days,151.201188179596,-33.8638790591732,"Anyone who sat inside or outside at this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Crust Pizza,402 Burwood Road,Belmore,Friday 25 June 2021,4:30pm to 5pm,Get tested immediately and self-isolate for 14 days,151.0868008,-33.918975,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Sunday 27 June 2021
Angelo Angestis Aquatic Centre  (also known as Bexley Aquatic),98C Preddys Road,Bexley North,Wednesday 23 June 2021,3:30pm to 4:45pm,Get tested immediately and self-isolate for 14 days,151.1118083,-33.9473833,Anyone who attended the indoors area of this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a>  and must immediately call NSW Health on 1800 943 553 <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. </br></br>Anyone who was in teh outdoor area must monitor for symptoms and if they occur <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> immediately and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> until you receive a negative result.,Monday 28 June 2021
Brionys Hair,"Shop 3 and 4, 40 Wairao Avenue",Bondi,Wednesday 23 June 2021,10:15am to 10:45am,Get tested immediately and self-isolate for 14 days,151.280081150225,-33.8867227433786,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.ult.",Sunday 27 June 2021
Lean Bean Fitness - Baby Mumma Beans class,"178 Beach House Lane, Campbell Parade",Bondi,Friday 18 June 2021,10:30am to 11:15am,Get tested immediately and self-isolate for 14 days,151.274667846562,-33.8895050859661,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Lean Bean Fitness - Baby Mumma Beans class,"178 Beach House Lane, Campbell Parade",Bondi,Monday 21 June 2021,10:30am to 11:15am,Get tested immediately and self-isolate for 14 days,151.274667846562,-33.8895050859661,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Lyfe Cafe,2/154 Glenayr Avenue,Bondi,Friday 18 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.270978055504,-33.8885762629677,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Lyfe Cafe,2/154 Glenayr Avenue,Bondi,Saturday 19 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.270978055504,-33.8885762629677,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Lyfe Cafe,2/154 Glenayr Avenue,Bondi,Thursday 24 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.270978055504,-33.8885762629677,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Saturday 26 June 2021
Lyfe Cafe,2/154 Glenayr Avenue,Bondi,Tuesday 22 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.270978055504,-33.8885762629677,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Lyfe Cafe,2/154 Glenayr Avenue,Bondi,Wednesday 16 June  2021,12:30pm to 2:15pm,Get tested immediately and self-isolate for 14 days,151.270978055504,-33.8885762629677,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Wednesday 23 June 2021
Lyfe Cafe,2/154 Glenayr Avenue,Bondi,Wednesday 23 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.270978055504,-33.8885762629677,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.ult.",Friday 25 June 2021
The Royal Bondi,283 Bondi Road,Bondi,Saturday 19 June 2021,5pm to 6:30pm,Get tested immediately and self-isolate for 14 days,151.269098492136,-33.8948688933482,"Anyone who attended this venue at the times specified on Sunday 20 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a>  and must immediately call NSW Health on 1800 943 553, <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. </br></br>Anyone who attended at the times specified on Saturday 19 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/covid-19-casual-contact.aspx'>casual contact</a> and must <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> until they receive a negative result. You should continue to monitor for symptoms and if any symptoms occur, get tested again.",Tuesday 22 June 2021
The Royal Bondi,283 Bondi Road,Bondi,Sunday 20 June 2021,7:50pm to 9:30pm,Get tested immediately and self-isolate for 14 days,151.26867427355,-33.8947808472976,"Anyone who attended this venue at the times specified on Sunday 20 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately call NSW Health on 1800 943 553, <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. </br></br>Anyone who attended at the times specified on Saturday 19 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/covid-19-casual-contact.aspx'>casual contact</a> and must <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> until they receive a negative result. You should continue to monitor for symptoms and if any symptoms occur, get tested again.",Thursday 24 June 2021
Totti's Bondi (within the Royal Bondi),283 Bondi Road,Bondi,Saturday 19 June 2021,5pm to 6:30pm,Get tested immediately and self-isolate for 14 days,151.269098492136,-33.8948688933482,"Anyone who attended this venue at the times specified on Saturday 19 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a>  and must immediately call NSW Health on 1800 943 553, <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. </br></br>Anyone who attended at the times specified on Sunday 20 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/covid-19-casual-contact.aspx'>casual contact</a> and must <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> until they receive a negative result. You should continue to monitor for symptoms and if any symptoms occur, get tested again.",Tuesday 22 June 2021
Totti's Bondi (within the Royal Bondi),283 Bondi Road,Bondi,Sunday 20 June 2021,7:50pm to 9:30pm,Get tested immediately and self-isolate for 14 days,151.269098492136,-33.8948688933482,"Anyone who attended this venue at the times specified on Saturday 19 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a>  and must immediately call NSW Health on 1800 943 553, <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. </br></br>Anyone who attended at the times specified on Sunday 20 June 2021 is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/covid-19-casual-contact.aspx'>casual contact</a> and must <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> until they receive a negative result. You should continue to monitor for symptoms and if any symptoms occur, get tested again.",Tuesday 22 June 2021
Ikaria Bondi,70 Campbell Parade,Bondi Beach,Sunday 20 June 2021,5pm to 7pm,Get tested immediately and self-isolate for 14 days,151.272642284855,-33.8925967679024,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Wednesday 23 June 2021
McDonald’s Bondi Beach,164 Campbell Parade,Bondi Beach,Friday 25 June 2021,11:30am to 12pm,Get tested immediately and self-isolate for 14 days,151.275055155794,-33.8898665973526,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Tuesday 29 June 2021
Speedo Fitness Club,"Pacific Building, 180 Campbell Parade ",Bondi Beach,Tuesday 22 June 2021,4:45pm to 6:15pm,Get tested immediately and self-isolate for 14 days,151.275659751912,-33.888892899336,Anyone who attended the pool area during these times is considered a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. Anyone who attended the fitness centre or classes during these times is considered a casual contact. They must get a test and isolate until they receive a negative result.,Saturday 26 June 2021
Chanel Fragrance and Beauty Westfield Bondi,Shop 4039 Level 4 / 500 Oxford St,Bondi Junction,Friday 18 June 2021,12pm to 12:25pm,Get tested immediately and self-isolate for 14 days,151.25093035021,-33.8914180517055,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Tuesday 22 June 2021
Elixr Health Club - Bondi Junction,Level C2/9 Bronte Road,Bondi Junction,Sunday 20 June 2021,2:45pm to 3:45pm,Get tested immediately and self-isolate for 14 days,151.249407046367,-33.892708585045,"Anyone present at the swimming area, pool side showers or pool side change rooms is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a>  and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result. </br></br> Anyone who attended other areas during this time is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/covid-19-casual-contact.aspx'>casual contact</a> and must <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> immediately. If you have no symptoms you do not need to self-isolate while waiting for your test result. You should continue to monitor for symptoms and if any symptoms occur, get tested again. ",Thursday 24 June 2021
Fitness First Bondi Junction Spring Street,110 Spring Street,Bondi Junction,Tuesday 22 June 2021,5:45pm to 6:45pm,Get tested immediately and self-isolate for 14 days,151.249238684629,-33.8920909277814,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Fitness First Platinum Bondi Junction (in Westfield),500 Oxford Street,Bondi Junction,Monday 21 June 2021,9:45am to 11:45am,Get tested immediately and self-isolate for 14 days,151.250479740453,-33.8914091734685,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Thursday 24 June 2021
Fresh Nails Westfield Bondi Junction,500 Oxford Street,Bondi Junction,Friday 18 June 2021,9:30am to 7pm,Get tested immediately and self-isolate for 14 days,151.250977676726,-33.8908909266725,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Fresh Nails Westfield Bondi Junction,500 Oxford Street,Bondi Junction,Thursday 17 June 2021,All day,Get tested immediately and self-isolate for 14 days,151.250977676726,-33.8908909266725,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Monday 21 June 2021
Fresh Nails Westfield Bondi Junction,500 Oxford Street,Bondi Junction,Tuesday 15 June 2021,2:30pm to 5pm,Get tested immediately and self-isolate for 14 days,151.250977676726,-33.8908909266725,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Friday 25 June 2021
Gusto Espresso Bar Café,14/157-165 Oxford Street,Bondi Junction,Friday 25 June 2021,7.00am to 7.50am,Get tested immediately and self-isolate for 14 days,151.250858715502,-33.8917582386855,"Anyone who attended this venue is a <a href='https://www.health.nsw.gov.au/Infectious/factsheets/Pages/advice-for-contacts.aspx'>close contact</a> and must immediately <a href='https://www.nsw.gov.au/covid-19/how-to-protect-yourself-and-others/clinics'>get tested</a> and <a href='https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules/self-isolation'>self-isolate</a> for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health.",Wednesday 30 June 2021
