Date,Place,Suburb,Arrival time,Departure time,Type
Thursday 24 June 2021,Miracle Worker massage & Holistic Therapies 79 Russell Street,West End,12.15pm,5.30pm,Close contacts
Thursday 24 June 2021,"Brewery CafeTownsville Airport, Coral Sea Drive",Garbutt,12.20pm,1.20pm,Close contacts
Thursday 24 June 2021,Barefoot art food and wine 5 Pacific Drive,Horseshoe Bay,6.30pm,8.30pm,Close contacts
Thursday 24 June 2021,Guzman y GomezShop 1/18 Stamford Road,Indooroopilly,7.45pm,8pm,Close contacts
Friday 25 June 2021,Chez Nous Cafe 160 Roma Street,Brisbane City,8.15am,8.30am,Close contacts
Friday 25 June 2021,Market Organics 10/620 Moggill Road,Chapel Hill,9.10am,9.45am,Close contacts
Friday 25 June 2021,"Commonwealth Bank of Australia, Indooroopilly Shopping Centre 322 Moggill Road",Indooroopilly,9.55am,10.25am,Close contacts
Friday 25 June 2021,"JB HIFI, Indooroopilly Shopping Centre 322 Moggill Road",Indooroopilly,10.10am,10.25am,Close contacts
Friday 25 June 2021,"Front reception, coffee stop Peppers Resort 123 Sooning St",Nelly Bay,11am,11.15am,Close contacts
Friday 25 June 2021,Virgin flight VA 939Sydney to Brisbane,Sydney to Brisbane,11.51am,1.25pm,Close contacts
Friday 25 June 2021,Office Works North Lakes 56 Flinders Parade,North Lakes,12.15pm,12.51pm,Close contacts
Friday 25 June 2021,Unhas Chic Salon 8/204 Alice Street,Brisbane City,12.30pm,4pm,Close contacts
Friday 25 June 2021,Woolworths Metro Teneriffe 105-109 Commercial Road,Teneriffe,1pm,1.15pm,Close contacts
Friday 25 June 2021,"Merlo CoffeeLevel 2, Virgin Food Court, Domestic Terminal",Brisbane Airport,1.55pm,2.15pm,Close contacts
Friday 25 June 2021,"Female Toilets, left of Virgin Food Court (facing food court) Level 2, near Virgin Food Court, Domestic Terminal",Brisbane Airport,2.05pm,2.15pm,Close contacts
Friday 25 June 2021,Getta BurgerAnzac Avenue,North Lakes,2.05pm,2.24pm,Close contacts
Friday 25 June 2021,Woolworths GasWorks 76 Skyring Terrace,Newstead,2.55pm,3.10pm,Close contacts
Friday 25 June 2021,Virgin flight VA 334Brisbane to Melbourne,Brisbane to Melbourne,2.59pm,5.16pm,Close contacts
Friday 25 June 2021,Magnetic Island IGA 147/153 Sooning St,Nelly Bay,3pm,3.15pm,Close contacts
Friday 25 June 2021,Virgin Flight VA 454Darwin to Brisbane,Darwin to Brisbane,3.15pm,7.30pm,Close contacts
Friday 25 June 2021,B's Salon & Barber Shop 3/20-28 Oneills Rd,Willowbank,4.50pm,5.10pm,Close contacts
Friday 25 June 2021,Drake Super Market 44 John Street,Rosewood,5.20pm,5.25pm,Close contacts
Friday 25 June 2021,United Petroleum - Warwick 86 Wallace Street,Warwick,5.30pm,5.45pm,Close contacts
Friday 25 June 2021,Main StPacific Drive,Horseshoe Bay,5.30pm,6.30pm,Close contacts
Friday 25 June 2021,Thai Again restaurant 56 Yates St,Nelly Bay,6.30pm,8.30pm,Close contacts
Friday 25 June 2021,"Female Toilet between Gate 38 and Gate 39 (behind Mecca Maxima and Peter Alexander stores) - Virgin TerminalLevel 2, Domestic Terminal",Brisbane Airport,7.20pm,7.30pm,Close contacts
Saturday 26 June 2021,Virgin flight VA 827Melbourne to Sydney,Melbourne to Sydney,9am,10.14am,Close contacts
Saturday 26 June 2021,Virgin Flight VA 517Sydney to Gold Coast,Sydney to Gold Coast,11.14am,12.40pm,Close contacts
Saturday 26 June 2021,Virgin Flight VA 524Gold Coast to Sydney,Gold Coast to Sydney,1.26pm,2.47pm,Close contacts
Saturday 26 June 2021,Woolworths Oasis (Broadbeach) - The Oasis Shopping Centre 75 Surf Parade,Broadbeach,1.30pm,1.55pm,Close contacts
Saturday 26 June 2021,BWS Bottleshop - The Oasis Shopping Centre 75 Surf Parade,Broadbeach,1.40pm,2pm,Close contacts
Saturday 26 June 2021,Coles Murrumba DownsDohles Rocks Rd,Murrumba Downs,2.53pm,3.15pm,Close contacts
Saturday 26 June 2021,Magnetic Island IGA 147/153 Sooning St,Nelly Bay,4.55pm,5.15pm,Close contacts
Saturday 26 June 2021,Chemist WarehouseHomemaker Centre B04/190 Lutwyche Road,Windsor,7.23pm,7.47pm,Close contacts
Sunday 27 June 2021,"Coffee Cart, Barge FerryMagnetic Island Ferry Terminal",Nelly Bay,9.50am,9.55am,Close contacts
Sunday 27 June 2021,Flinders St (Cotters) Markets - Townsville City MarketsFlinders St between Stanley and Denham Streets,Townsville,10.45am,11.15am,Close contacts
Sunday 27 June 2021,Virgin flight VA 374Townsville to Brisbane,Townsville to Brisbane,1.18pm,2.55pm,Close contacts
Sunday 27 June 2021,Anytime Fitness 185 Brays Road,Griffin,2.14pm,3pm,Close contacts
Monday 28 June 2021,Club Coops - Tennis Courts 7-11751 Beams Road,Carseldine,8.30am,10.30am,Close contacts
Monday 28 June 2021,Club Coops - Reception (all patrons inside the venue's reception) 751 Beams Road,Carseldine,8.30am,8.45am,Close contacts
Monday 28 June 2021,Club Coops - Reception (all patrons inside the venue's reception) 751 Beams Road,Carseldine,10.05am,10.20am,Close contacts
Monday 28 June 2021,Rebel SportChermside Shopping Centre,Chermside,3.20pm,3.35pm,Close contacts
Monday 28 June 2021,FootlockerChermside Shopping Centre,Chermside,3.20pm,3.35pm,Close contacts
Monday 28 June 2021,Country RoadChermside Shopping Centre,Chermside,3.30pm,3.55pm,Close contacts
Monday 28 June 2021,Athletes FootChermside Shopping Centre,Chermside,3.55pm,4.10pm,Close contacts
Monday 28 June 2021,Shaw Park Tennis Centre 128 Shaw Rd,Wooloowin,4.20pm,4.40pm,Close contacts
Thursday 24 June 2021,General Townsville AirportCoral Sea Drive,Garbutt,12.20pm,1.20pm,Casual contacts
Thursday 24 June 2021,So Sushi - EmporiumAnn Street,Fortitude Valley,3.45pm,4.30pm,Casual contacts
Friday 25 June 2021,Arthur Bay beachGeneral beach area,Arthur Bay,10.30am,3pm,Casual contacts
Friday 25 June 2021,"Gate 50 - Virgin TerminalLevel 2, Domestic Terminal",Brisbane Airport,7.18pm,7.30pm,Casual contacts
Saturday 26 June 2021,Virgin flight VA 924Brisbane to Sydney,Brisbane to Sydney,8.05am,9.26am,Casual contacts
Saturday 26 June 2021,Ban Ban Springs Public Toilet (female) Located in the Ban Ban rest area - not in the Service Station,Ban Ban Springs,9am,11.59pm,Casual contacts
Saturday 26 June 2021,Florence Bay beachGeneral public beach area,Florence Bay,10.30am,3.30pm,Casual contacts
Saturday 26 June 2021,Virgin flight VA 957Sydney to Brisbane,Sydney to Brisbane,3.56pm,5.29pm,Casual contacts
Saturday 26 June 2021,Radical Bay beachGeneral public beach area,Radical Bay,4pm,4.30pm,Casual contacts
Sunday 27 June 2021,Townsville AirportCoral Sea Drive,Garbutt,12pm,1pm,Casual contacts
Saturday 19 June 2021,"Escape 2 Hiking Shop, DFO Brisbane (Airport) 18th Avenue",Brisbane Airport,10am,6pm,Low risk contacts
Saturday 19 June 2021,DFO Brisbane (Airport) 18th Avenue,Brisbane Airport,4pm,4.30pm,Low risk contacts
Saturday 19 June 2021,Lobby (incl. female toilets) of Park Regis Hotel 293 North Quay,Brisbane City,4.50pm,5.15pm,Low risk contacts
Saturday 19 June 2021,Brisbane CBDVicinity of Queen Street Mall,Brisbane City,5pm,6pm,Low risk contacts
Sunday 20 June 2021,Charlie's Raw Squeeze 730 Sandgate Road,Clayfield,9am,9.30am,Low risk contacts
Sunday 20 June 2021,"Escape 2 Hiking Shop, DFO Brisbane (Airport) 18th Avenue",Brisbane Airport,10am,3pm,Low risk contacts
Sunday 20 June 2021,Royal Brisbane & Women's Hospital Fever ClinicButterfield Street,Herston,3.30pm,4.30pm,Low risk contacts
Sunday 20 June 2021,The Bay Health Club 231A Flinders Parade,Sandgate,5pm,11.59pm,Low risk contacts
Monday 21 June 2021,Anytime Fitness Hamilton 2 Harbour Road,Hamilton,12am,11.59pm,Low risk contacts
Tuesday 22 June 2021,"Good Life Gym Fortitude Valley, Homemaker The Valley NorthMontpelier Road &, Wickham Street",Fortitude Valley,9.45am,12.30pm,Low risk contacts
Tuesday 22 June 2021,Indooroopilly Shopping Centre 322 Moggill Road,Indooroopilly,6pm,6.45pm,Low risk contacts
Wednesday 23 June 2021,Goodlife Health Clubs West End - West Village 35 Mollison Street,West End,7.15pm,11.59pm,Low risk contacts
Thursday 24 June 2021,Anytime Fitness Hamilton 2 Harbour Road,Hamilton,12am,11.59pm,Low risk contacts
Thursday 24 June 2021,Brisbane AirportDomestic Terminal,Brisbane Airport,9.10am,10.10am,Low risk contacts
Thursday 24 June 2021,EmporiumAnn Street,Fortitude Valley,3.30pm,4.30pm,Low risk contacts
Thursday 24 June 2021,Magnetic IslandWhole island,Magnetic Island,3.30pm,11.59pm,Low risk contacts
Friday 25 June 2021,Anytime Fitness Hamilton 2 Harbour Road,Hamilton,12am,11.59pm,Low risk contacts
Friday 25 June 2021,Magnetic IslandWhole island,Magnetic Island,12am,11.59pm,Low risk contacts
Friday 25 June 2021,Indooroopilly Shopping Centre 322 Moggill Road,Indooroopilly,9.45am,10.30am,Low risk contacts
Friday 25 June 2021,"Tower One, Unison at Waterfront 12 Longland Street",Newstead,12.20pm,11.59pm,Low risk contacts
Friday 25 June 2021,"Virgin TerminalLevel 2, Domestic Terminal",Brisbane Airport,1.30pm,2.30pm,Low risk contacts
Friday 25 June 2021,Royal Brisbane & Women's Hospital Fever ClinicButterfield Street,Herston,4pm,5pm,Low risk contacts
Friday 25 June 2021,Ripley McDonald's (Drive through only) 332 Ripley Road,Ripley,4.07pm,4.09pm,Low risk contacts
Saturday 26 June 2021,Anytime Fitness Hamilton 2 Harbour Road,Hamilton,12am,11.59pm,Low risk contacts
Saturday 26 June 2021,Magnetic IslandWhole island,Magnetic Island,12am,11.59pm,Low risk contacts
Saturday 26 June 2021,BP Stapylton (Yatala) Cnr Pacific Hwy & Stapylton Jacobs Well Road,Stapylton (Yatala),11.55am,12.20pm,Low risk contacts
Saturday 26 June 2021,Broadbeach Savannah Hotel and Resort 42 – 46 Surf Parade,Broadbeach,12.50pm,8.15pm,Low risk contacts
Saturday 26 June 2021,Oasis Shopping Centre 75 Surf Parade,Broadbeach,1.30pm,2pm,Low risk contacts
Saturday 26 June 2021,"Brisbane International Airport, all indoor public areasAirport Drive",Brisbane Airport,6.06pm,10.40pm,Low risk contacts
Saturday 26 June 2021,McDonald’s Augustine Heights 1 Gateway Dr,Augustine Heights,7.57am,8.01am,Low risk contacts
Sunday 27 June 2021,Magnetic IslandWhole island,Magnetic Island,12am,10am,Low risk contacts
Sunday 27 June 2021,Brisbane AirportDomestic Terminal,Brisbane Airport,2.55pm,4.15pm,Low risk contacts
Sunday 27 June 2021,Anytime Fitness 185 Brays Road,Griffin,3pm,11.59pm,Low risk contacts
Monday 28 June 2021,"Brisbane International Airport, all indoor public areasAirport Drive",Brisbane Airport,2.03pm,5.52pm,Low risk contacts
Monday 28 June 2021,Chermside Shopping CentreGympie Rd,Chermside,3.15pm,4.20pm,Low risk contacts
Sunday 27 June 2021,Coles Murrumba DownsDohles Rocks Rd,Murrumba Downs,2.53pm,3.15pm,Close contacts
Wednesday 23 June 2021,Breeze Cafe - accessible from rear entrance of the main hospital buildingThe Prince Charles Hospital,Chermside,4.50pm,5.15pm,Close contacts
Monday 28 June 2021,Chemist WarehouseHomemaker Centre B04/190 Lutwyche Road,Windsor,7.23pm,7.47pm,Close contacts
Wednesday 23 June 2021,Wellcamp Airport (air side only) 1511 Toowoomba-Cecil Plains Road,Wellcamp,10.10am,2.30pm,Close contacts
Sunday 27 June 2021,"Harris Farm Market, West EndWest Village, 97 Boundary St, Corner of Mollison St and Boundary St",West End,11.50am,1.50pm,Close contacts
Sunday 27 June 2021,"Woolworths, West EndWest Village, 97 Boundary St, Corner of Mollison St and Boundary St",West End,1.30pm,2pm,Close contacts
Monday 28 June 2021,Greek Orthodox Community of St George Brisbane 36 Browning Street,South Brisbane,7.15am,3.20pm,Close contacts
Monday 28 June 2021,"ALDI, West End 335 Montague Rd",West End,3.25pm,4pm,Close contacts
Tuesday 29 June 2021,Greek Orthodox Community of St George Brisbane 36 Browning Street,South Brisbane,7am,4pm,Close contacts
Tuesday 29 June 2021,"Vincents Accounting FirmLevel 33, 32 Turbot St",Brisbane City,7.30am,4.15pm,Close contacts
Tuesday 29 June 2021,"JB Hi-Fi, Albert Street, Brisbane City 195 Albert St",Brisbane City,12.20pm,12.45pm,Close contacts
Tuesday 29 June 2021,"Zara, Queen Street Mall, Brisbane City 155 Queen St",Brisbane City,12.40pm,1.05pm,Close contacts
Tuesday 29 June 2021,"Mecca MaximaWintergarden Shopping Centre, 171-209 Queen St",Brisbane City,12.50pm,1.15pm,Close contacts
Monday 28 June 2021,Greek Orthodox Community of St George Brisbane 36 Browning Street,South Brisbane,3.21pm,9.30pm,Casual contacts
Tuesday 29 June 2021,Espresso Engine 32 Turbot St,Brisbane City,7.15am,7.30am,Casual contacts
Tuesday 29 June 2021,Santos Building 32 Turbot St,Brisbane City,7.30am,4.15pm,Casual contacts
Tuesday 29 June 2021,Espresso Engine Turbot Street 32 Turbot St,Brisbane City,1.10pm,1.25pm,Casual contacts
Tuesday 29 June 2021,Greek Orthodox Community of St George Brisbane 36 Browning Street,South Brisbane,4.01pm,6pm,Casual contacts
Tuesday 29 June 2021,Coles Sippy Downs 107 Sippy Downs Dr,Sippy Downs,8.15am,8.35am,Low risk contacts
Wednesday 23 June 2021,"Coles Express, Brisbane International AirportAirport Drive",Brisbane Airport,6.13am,6.31am,Close contacts
Wednesday 23 June 2021,"BP Haigslea Service Centre (BP Service Counter Area, Food Court, Origin Kebabs, Toilets and Coolibah Tree Cafe, Hungry Jacks) 2312 Warrego Hwy",Haigslea,8.21am,8.43am,Close contacts
Wednesday 23 June 2021,Shell Rusty's 4114 Warrego Hwy,Hatton Vale,3.30pm,4.15pm,Close contacts
Thursday 24 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,7.59am,8.57am,Close contacts
Thursday 24 June 2021,Coles Murrumba DownsDohles Rocks Rd,Murrumba Downs,9.05am,9.35am,Close contacts
Friday 25 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,8.02am,9.15am,Close contacts
Friday 25 June 2021,"Nippon Ramen, Food Court level, Brisbane Domestic TerminalAirport Drive",Brisbane Airport,3.12pm,3.34pm,Close contacts
Saturday 26 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,10.26am,11.50am,Close contacts
Sunday 27 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,10.11am,11.23am,Close contacts
Monday 28 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,5.20am,6.45am,Close contacts
Tuesday 29 June 2021,"Shell Coles ExpressCnr Moreton Dr &, Nancy Bird Way",Brisbane Airport,1.32am,1.48am,Close contacts
Tuesday 29 June 2021,xpress@BNE Cafe Brisbane Domestic Terminal (opposite gate 2) Airport Drive,Brisbane Airport,6.10am,6.30am,Close contacts
Tuesday 29 June 2021,Getta Burger 4/1646 Anzac Ave,North Lakes,4pm,4.15pm,Close contacts
Wednesday 30 June 2021,Mens Toilet (ground floor past lolly shop and hairdresser) Westfield North Lakes,North Lakes,10.30am,10.45am,Close contacts
Wednesday 30 June 2021,EB GamesWestfield North Lakes,North Lakes,10.33am,10.48am,Close contacts
Wednesday 30 June 2021,Best and LessWestfield North Lakes,North Lakes,10.40am,10.45am,Close contacts
Wednesday 30 June 2021,Health ShopWestfield North Lakes,North Lakes,10.45am,11am,Close contacts
Wednesday 30 June 2021,ColesWestfield North Lakes,North Lakes,10.50am,11.27am,Close contacts
Wednesday 30 June 2021,EB GamesWestfield North Lakes,North Lakes,11.17am,11.32am,Close contacts
Sunday 20 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,2.46am,4.07am,Casual contacts
Monday 21 June 2021,"Anytime Fitness Griffin 1/185 Brays Rd, , 4503",Griffin,1.17pm,2.24pm,Casual contacts
Saturday 19 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,8.22am,3.01pm,Low risk contacts
Sunday 20 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,4.07am,11.59pm,Low risk contacts
Sunday 20 June 2021,Brisbane Domestic TerminalAirport Drive,Brisbane Airport,5.39am,3.54pm,Low risk contacts
Monday 21 June 2021,"Anytime Fitness Griffin 1/185 Brays Rd, , 4503",Griffin,2.24pm,11.59pm,Low risk contacts
Tuesday 22 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,3.16am,1.12pm,Low risk contacts
Wednesday 23 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,6.24am,7.15am,Low risk contacts
Wednesday 23 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,5pm,5.15pm,Low risk contacts
Thursday 24 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,8.57am,11.59pm,Low risk contacts
Thursday 24 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,11.15am,10.37pm,Low risk contacts
Friday 25 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,9.15am,11.59pm,Low risk contacts
Friday 25 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,11.45am,11pm,Low risk contacts
Saturday 26 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,11.50am,11.59pm,Low risk contacts
Sunday 27 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,11.23am,11.59pm,Low risk contacts
Monday 28 June 2021,Anytime Fitness Griffin 1/185 Brays Rd,Griffin,6.45am,11.59pm,Low risk contacts
Monday 28 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,8.24am,3.02pm,Low risk contacts
Tuesday 29 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,1.47am,6am,Low risk contacts
Tuesday 29 June 2021,Brisbane Domestic TerminalAirport Drive,Brisbane Airport,6am,9.07am,Low risk contacts
Tuesday 29 June 2021,Brisbane International AirportAirport Drive,Brisbane Airport,9.07am,1pm,Low risk contacts
Tuesday 29 June 2021,Suttons BeachMarine Parade,Redcliffe,2.05pm,2.26pm,Low risk contacts
Wednesday 30 June 2021,Westfield North LakesN Lakes Dr,North Lakes,10.24am,11.30am,Low risk contacts
Wednesday 30 June 2021,Taco Bell – Drive throughCrn Flinders Pde and Diamond Jubilee Way,North Lakes,11.45am,12.45pm,Low risk contacts
Wednesday 23 June 2021,"Shell Coles ExpressCnr Moreton Dr &, Nancy Bird Way",Brisbane Airport,6.13am,6.31am,Close contacts
Sunday 27 June 2021,United Petroleum shop 686 Eumundi Noosa Road,Eumundi,1pm,1.15pm,Close contacts
Monday 28 June 2021,Humdrum Espresso 100 Memorial Dr,Eumundi,9.25am,9.45am,Close contacts
Monday 28 June 2021,O-Ren Brew House 8/46-52 Duke St,Sunshine Beach,6.55pm,8pm,Close contacts
Monday 28 June 2021,Sunshine Beach Newsagency and general store 44 Duke St,Sunshine Beach,8pm,8.15pm,Close contacts
Tuesday 29 June 2021,7-Eleven Carina 1505 Creek Rd,Carina,2.50am,3.05am,Close contacts
Wednesday 30 June 2021,7-Eleven Carina 1505 Creek Rd,Carina,2.50am,3.05am,Close contacts
Wednesday 30 June 2021,Sala Thai 102 Memorial Drive,Eumundi,6.55pm,7.30pm,Close contacts
Thursday 1 July 2021,7-Eleven Carina 1505 Creek Rd,Carina,2.50am,3.05am,Close contacts
Thursday 1 July 2021,SubwayShop 1/1304 Old Cleveland Rd,Carindale,12.30pm,1pm,Close contacts
Thursday 1 July 2021,"Woolworths CarindaleWestfield Carindale, 1151 Creek Rd",Carindale,6pm,6.45pm,Close contacts
Friday 2 July 2021,7-Eleven Tingalpa 1280 Wynnum Rd,Tingalpa,11am,11.15am,Close contacts
Monday 28 June 2021,"Male toilet, G/F, J Block, University of the Sunshine Coast 90 Sippy Downs Dr",Sippy Downs,6.50am,2.50pm,Casual contacts
Tuesday 29 June 2021,"Male toilet, G/F, J Block, University of the Sunshine Coast 90 Sippy Downs Dr",Sippy Downs,6.50am,3pm,Casual contacts
Wednesday 30 June 2021,The Prince Charles Hospital Female Staff Toilet in the Medical Imaging Department 627 Rode Road,Chermside,9am,3pm,Casual contacts
Monday 28 June 2021,Coles Sippy Downs 107 Sippy Downs Dr,Sippy Downs,8.10am,8.35am,Low risk contacts
Tuesday 29 June 2021,Woolworths North West Plaza 97 Flockton Street,Everton Park,10.10am,10.55am,Low risk contacts
Wednesday 30 June 2021,The Prince Charles Hospital (Main Entrance and main corridor to Medical Imaging Department) 627 Rode Road,Chermside,8.13am,8.30am,Low risk contacts
Wednesday 30 June 2021,The Prince Charles Hospital Medical Imaging Department 627 Rode Road,Chermside,8.30am,2.30pm,Low risk contacts
Wednesday 30 June 2021,The Prince Charles Hospital (Main Corridor from Medical Imaging Department to TPCH Main Entrance 627 Rode Road,Chermside,2.30pm,3pm,Low risk contacts
Friday 2 July 2021,"Winegum CafeEast Side Village, 13/682 New Cleveland Rd",Gumdale,9.30am,9.45am,Low risk contacts
Saturday 26 June 2021,New Farm Deli & Cafe 900 Brunswick Street,New Farm,7.45am,9am,Close contacts
Saturday 26 June 2021,The Albion MarketplaceShop 1-2/6 Crosby Road,Albion,9.50am,10.15am,Close contacts
Saturday 26 June 2021,Priceline Toombul Shopping Centre 1015 Sandgate Rd,Nundah,11.38am,12.13pm,Close contacts
Saturday 26 June 2021,Kmart Toombul Shopping Centre 1015 Sandgate Rd,Nundah,11.38am,12.13pm,Close contacts
Saturday 26 June 2021,"Lush, Westfield ChermsideGympie Rd",Chermside,12.06pm,1.39pm,Close contacts
Saturday 26 June 2021,Factorie Clothing Westfield ChermsideGympie Rd,Chermside,12.06pm,1.39pm,Close contacts
Saturday 26 June 2021,Kmart Westfield ChermsideGympie Rd,Chermside,12.06pm,1.39pm,Close contacts
Saturday 26 June 2021,Foot Locker Westfield ChermsideGympie Rd,Chermside,12.06pm,1.39pm,Close contacts
Saturday 26 June 2021,Zeus Street Greek Kitchen Westfield ChermsideGympie Rd,Chermside,12.06pm,1.39pm,Close contacts
Sunday 27 June 2021,Kin & Co 24 Macquarie Street,Teneriffe,9.12am,9.55am,Close contacts
Sunday 27 June 2021,Clayfield Markets MeatsSuite 2/823 Sandgate Road,Clayfield,10.40am,11.13am,Close contacts
Sunday 27 June 2021,"Brumby's Bakery (next door to Clayfield Markets Meats) Clayfield Markets, Corner Sandgate and Junction Roads",Clayfield,10.40am,11.13am,Close contacts
Sunday 27 June 2021,Ampol Petrol Station 132a East-West Arterial Road,Hendra,12.48pm,1.16pm,Close contacts
Tuesday 29 June 2021,"ALDI Garden CityWestfield Garden City, Logan Rd",Upper Mount Gravatt,3.10pm,4pm,Close contacts
Tuesday 29 June 2021,"Spuds & PlumsWestfield Garden City, Logan Rd",Upper Mount Gravatt,3.10pm,4pm,Close contacts
Wednesday 30 June 2021,"National Australia Bank [NAB]Westfield Garden City, Logan Rd",Upper Mount Gravatt,3.05pm,3.20pm,Close contacts
Wednesday 30 June 2021,"Bunnings UnderwoodCompton Road &, Ewing Rd",Underwood,6.55pm,7.25pm,Close contacts
Thursday 1 July 2021,"Bunnings UnderwoodCompton Road &, Ewing Rd",Underwood,11.35am,11.55am,Close contacts
Saturday 26 June 2021,Toombul Shopping Centre 1015 Sandgate Rd,Nundah,11.38am,12.13pm,Low risk contacts
Saturday 26 June 2021,Westfield ChermsideGympie Rd,Chermside,12.06pm,1.39pm,Low risk contacts
Saturday 26 June 2021,"Guzman y Gomez Drive-Through, Albion 90 Abbotsford Road",Bowen Hills,6.40pm,6.49pm,Low risk contacts
Sunday 27 June 2021,Zarrafas Coffee Drive-Through Hendra 538 Nudgee Road (100 East-West Arterial Road),Hendra,12.48pm,1.01pm,Low risk contacts
Tuesday 29 June 2021,"Westfield Garden CityWestfield Garden City, Logan Rd",Upper Mount Gravatt,3.10pm,4pm,Low risk contacts
Wednesday 23 June 2021,"Wellcamp Airport, aircraft operations/cargo/maintenance areas. Does not include passenger terminal or boarding/disembarking 1511 Toowoomba-Cecil Plains Road",Wellcamp,10.10am,2.30pm,Close contacts
Wednesday 23 June 2021,"BP Haigslea Service Centre (Only Food Court, Origin Kebabs, Toilets, Coolibah Tree Cafe, Hungry Jacks) 2312 Warrego Hwy",Haigslea,8.21am,8.43am,Close contacts
Sunday 27 June 2021,United Petroleum shop 686 Eumundi Noosa Road,Doonan,1pm,1.15pm,Close contacts
Thursday 1 July 2021,Blended Health BarShop 4/18 Hastings St,Noosa Heads,10.47am,10.57am,Close contacts
Thursday 1 July 2021,Eumundi Village Pharmacy 1/2-6 Etheridge St,Eumundi,5.13pm,5.16pm,Close contacts
Friday 2 July 2021,Humdrum Espresso 100 Memorial Dr,Eumundi,9.14am,9.21am,Close contacts
Thursday 1 July 2021,Harvey Norman (electrical appliance section and cashier in that section) 7/9 Gibson Rd,Noosaville,10.25am,10.40am,Casual contacts
Wednesday 23 June 2021,BP Haigslea Service Centre (BP Service Counter Area) 2312 Warrego Hwy,Haigslea,8.21am,8.43am,Low risk contacts
Monday 28 June 2021,World Gym Mount Gravatt 6/555 Kessels Road,MacGregor,11am,1.30pm,Close contacts
